time,source_month,S0_mean,Sg_mean,S0_mean_anom,Sg_mean_anom
2022-06-15,2022-06-01,0.02498371967985588,0.0035457683001627566,-0.014201634327233842,-0.008578904337997515
2022-06-27,2022-06-01,0.02498371967985588,0.0035457683001627566,-0.014201634327233842,-0.008578904337997515
2022-07-09,2022-07-01,0.06762987298949605,0.018577059165283825,0.02844451898240633,0.006452386527123556
2022-07-21,2022-07-01,0.06762987298949605,0.018577059165283825,0.02844451898240633,0.006452386527123556
2022-08-02,2022-08-01,0.06841665446264954,0.05034095492743918,0.029231300455559814,0.03821628228927891
2022-08-14,2022-08-01,0.06841665446264954,0.05034095492743918,0.029231300455559814,0.03821628228927891
2022-08-26,2022-08-01,0.06841665446264954,0.05034095492743918,0.029231300455559814,0.03821628228927891
2022-09-07,2022-09-01,0.0570908055705129,0.03232349658471447,0.017905451563423175,0.020198823946554204
2022-09-19,2022-09-01,0.0570908055705129,0.03232349658471447,0.017905451563423175,0.020198823946554204
2022-10-01,2022-10-01,0.04361933057166884,0.018676873231761947,0.004433976564579126,0.006552200593601675
2022-10-13,2022-10-01,0.04361933057166884,0.018676873231761947,0.004433976564579126,0.006552200593601675
2022-10-25,2022-10-01,0.04361933057166884,0.018676873231761947,0.004433976564579126,0.006552200593601675
2022-11-06,2022-11-01,0.035026804070651556,0.009243750676017976,-0.004158549936438161,-0.002880921962142295
2022-11-18,2022-11-01,0.035026804070651556,0.009243750676017976,-0.004158549936438161,-0.002880921962142295
2022-11-30,2022-11-01,0.035026804070651556,0.009243750676017976,-0.004158549936438161,-0.002880921962142295
2022-12-12,2022-12-01,0.02423601610673397,0.005946445408504554,-0.014949337900355752,-0.006178227229655719
2022-12-24,2022-12-01,0.02423601610673397,0.005946445408504554,-0.014949337900355752,-0.006178227229655719
2023-01-05,2023-01-01,0.02858680645681018,0.004874508334567837,-0.010598547550279542,-0.007250164303592435
2023-01-17,2023-01-01,0.02858680645681018,0.004874508334567837,-0.010598547550279542,-0.007250164303592435
2023-01-29,2023-01-01,0.02858680645681018,0.004874508334567837,-0.010598547550279542,-0.007250164303592435
2023-02-10,2023-02-01,0.03468006898296871,0.0054240098041309585,-0.0045052850241210085,-0.006700662834029314
2023-02-22,2023-02-01,0.03468006898296871,0.0054240098041309585,-0.0045052850241210085,-0.006700662834029314
2023-03-06,2023-03-01,0.032291782680898384,0.004192535433293088,-0.006893571326191333,-0.007932137204867185
2023-03-18,2023-03-01,0.032291782680898384,0.004192535433293088,-0.006893571326191333,-0.007932137204867185
2023-03-30,2023-03-01,0.032291782680898384,0.004192535433293088,-0.006893571326191333,-0.007932137204867185
2023-04-11,2023-04-01,0.04056076263727502,0.003978253842848418,0.001375408630185295,-0.008146418795311854
2023-04-23,2023-04-01,0.04056076263727502,0.003978253842848418,0.001375408630185295,-0.008146418795311854
2023-05-05,2023-05-01,0.033803874276034304,0.0036027353499638827,-0.005381479731055412,-0.008521937288196389
2023-05-17,2023-05-01,0.033803874276034304,0.0036027353499638827,-0.005381479731055412,-0.008521937288196389
2023-05-29,2023-05-01,0.033803874276034304,0.0036027353499638827,-0.005381479731055412,-0.008521937288196389
2023-06-10,2023-06-01,0.04361052242551034,0.005230489700598369,0.0044251684184206256,-0.0068941829375619035
2023-06-22,2023-06-01,0.04361052242551034,0.005230489700598369,0.0044251684184206256,-0.0068941829375619035
2023-07-04,2023-07-01,0.061904729290108415,0.02926942186763834,0.022719375283018692,0.01714474922947807
2023-07-16,2023-07-01,0.061904729290108415,0.02926942186763834,0.022719375283018692,0.01714474922947807
2023-08-21,2023-08-01,0.058864740638987674,0.044990781217067066,0.01967938663189795,0.03286610857890678
2023-09-02,2023-09-01,0.05028316025089498,0.024764970973868917,0.011097806243805259,0.012640298335708648
2023-09-14,2023-09-01,0.05028316025089498,0.024764970973868917,0.011097806243805259,0.012640298335708648
2023-09-26,2023-09-01,0.05028316025089498,0.024764970973868917,0.011097806243805259,0.012640298335708648
2023-10-08,2023-10-01,0.042370685818120174,0.011097110546693875,0.0031853318110304546,-0.0010275620914663999
2023-10-20,2023-10-01,0.042370685818120174,0.011097110546693875,0.0031853318110304546,-0.0010275620914663999
2023-11-01,2023-11-01,0.03265589314546827,0.005707594759008004,-0.006529460861621452,-0.0064170778791522685
2023-11-13,2023-11-01,0.03265589314546827,0.005707594759008004,-0.006529460861621452,-0.0064170778791522685
2023-11-25,2023-11-01,0.03265589314546827,0.005707594759008004,-0.006529460861621452,-0.0064170778791522685
2023-12-07,2023-12-01,0.02735762682466874,0.00406519695969593,-0.011827727182420986,-0.008059475678464344
2023-12-19,2023-12-01,0.02735762682466874,0.00406519695969593,-0.011827727182420986,-0.008059475678464344
2023-12-31,2023-12-01,0.02735762682466874,0.00406519695969593,-0.011827727182420986,-0.008059475678464344
2024-01-12,2024-01-01,0.018872731411690272,0.003369216973019333,-0.020312622595399447,-0.00875545566514094
2024-01-24,2024-01-01,0.018872731411690272,0.003369216973019333,-0.020312622595399447,-0.00875545566514094
