Codice,Tipologia stazione,Provincia,Comune,Codice_GWB-PdG_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m
BOA5-00,Pozzo,BO,CASTENASO,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,695616,4930400,39.01,159,,2,61,74.5
BOA6-01,Pozzo,BO,DOZZA,IT082492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,711138,4917725,68.4,165,,,,
BOA7-00,Pozzo,BO,MOLINELLA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,714286,4942901,7.3,190,,1,175,183.75
BOB3-00,Pozzo,BO,CREVALCORE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,672436,4955556,15.87,100,,,,
BOB8-00,Pozzo,BO,CREVALCORE,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,670194,4959181,19.21,80,Fondo foro,1,70,76
BOE8-00,Pozzo,BO,VALSAMOGGIA,IT080150ER-DQ1-CL,Conoide Samoggia - libero,667087,4928063,100,21,,,,
BOE9-00,Pozzo,BO,BOLOGNA,IT080160ER-DQ1-CL,Conoide Reno-Lavino - libero,678075,4933190,44.9,68,Fondo foro,1,64,68
BOE9-01,Pozzo,BO,BOLOGNA,IT080160ER-DQ1-CL,Conoide Reno-Lavino - libero,678135,4933504,41.7,70,,,,
BO-F01-00,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,
BO-F02-00,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,
BO-F04-00,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,
BO-F07-00,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7,,,,
BO-F08-00,Pozzo,BO,ARGELATO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,684902,4947067,21.2,6.7,,,,
BO-F11-00,Pozzo,BO,MOLINELLA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,705857,4940727,14.3,7.2,,,,
BO-F12-00,Pozzo,BO,CASTENASO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699279,4932056,31,6.65,,,,
BO-F13-00,Pozzo,BO,CASTENASO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,695284,4934008,34.5,7.65,,,,
BO-F15-00,Pozzo,BO,CASTEL GUELFO DI BOLOGNA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,711231,4923429,37,6.3,,,,
BO-F16-00,Pozzo,BO,IMOLA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,715642,4923009,27.6,10,,,,
BO-F18-00,Pozzo,BO,MORDANO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,724554,4920253,19.7,7.5,,,,
BOF2-01,Pozzo,BO,CASTELLO D'ARGILE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,682666,4952366,19.2,100,,,,
BO-F21-00,Pozzo,BO,BOLOGNA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,678805,4934906,36.7,7.4,,,,
BOF3-00,Pozzo,BO,OZZANO DELL'EMILIA,IT080482ER-DQ2-CC,Conoide Quaderna - confinato,700760,4926540,39,80,,,,
BOF3-01,Pozzo,BO,OZZANO DELL'EMILIA,IT080482ER-DQ2-CC,Conoide Quaderna - confinato,701768,4926171,37.5,75,,,,
BOF6-00,Pozzo,BO,ZOLA PREDOSA,IT080160ER-DQ1-CL,Conoide Reno-Lavino - libero,677832,4929734,64.5,131.9,,5,90.3,130.85
